TYPE,START DATE,END DATE,USAGE,UNITS,COST,NOTES
Electric billing,2020-08-27,2020-09-27,229.66,kWh,$40.36,NA
Electric billing,2020-09-28,2020-10-27,214.86,kWh,$37.59,NA
Electric billing,2020-10-28,2020-11-29,261.75,kWh,$45.26,NA
Electric billing,2020-11-30,2020-12-28,230.12,kWh,$39.84,NA
Electric billing,2020-12-29,2021-01-27,230.32,kWh,$40.44,NA
Electric billing,2021-01-28,2021-02-28,210.87,kWh,$37.50,NA
Electric billing,2021-03-01,2021-03-29,170.13,kWh,$32.16,NA
Electric billing,2021-03-30,2021-04-28,166.92,kWh,$31.53,NA
Electric billing,2021-04-29,2021-05-27,155.13,kWh,$29.30,NA
Electric billing,2021-05-28,2021-06-28,203.51,kWh,$46.63,NA
Electric billing,2021-06-29,2021-07-28,148.16,kWh,$34.74,NA
Electric billing,2021-07-29,2021-08-29,165.69,kWh,$39.16,NA
Electric billing,2021-08-30,2021-09-28,207.28,kWh,$49.41,NA
Electric billing,2021-09-29,2021-10-27,225.97,kWh,$43.88,NA
Electric billing,2021-10-28,2021-11-29,285.13,kWh,$55.64,NA
Electric billing,2021-11-30,2021-12-27,230.59,kWh,$44.55,NA
Electric billing,2021-12-28,2022-01-26,282.32,kWh,$65.37,NA
Electric billing,2022-01-27,2022-02-27,315.29,kWh,$72.22,NA
Electric billing,2022-02-28,2022-03-28,242.09,kWh,$44.40,NA
Electric billing,2022-03-29,2022-04-27,242.35,kWh,$43.68,NA
Electric billing,2022-04-28,2022-05-26,173.16,kWh,$31.22,NA
Electric billing,2022-05-27,2022-06-27,147.92,kWh,$32.11,NA
Electric billing,2022-06-28,2022-07-27,112.74,kWh,$25.39,NA
Electric billing,2022-07-28,2022-08-28,78.38,kWh,$17.58,NA
Electric billing,2022-08-29,2022-09-27,31.05,kWh,$11.91,NA
Electric billing,2022-09-28,2022-10-26,109.54,kWh,$19.94,NA
Electric billing,2022-10-27,2022-11-28,255.34,kWh,$46.73,NA
Electric billing,2022-11-29,2022-12-27,254.91,kWh,$49.55,NA
Electric billing,2022-12-28,2023-01-26,253.69,kWh,$45.39,NA
Electric billing,2023-01-27,2023-02-27,297.43,kWh,$54.41,NA
Electric billing,2023-02-28,2023-03-28,253.34,kWh,$49.28,NA
Electric billing,2023-03-29,2023-04-27,275.69,kWh,$54.88,NA
Electric billing,2023-04-28,2023-05-29,271.51,kWh,$52.34,NA
Electric billing,2023-05-30,2023-06-27,231.48,kWh,$53.81,NA
Electric billing,2023-06-28,2023-07-27,227.37,kWh,$57.06,NA
