TYPE,START DATE,END DATE,USAGE,UNITS,COST,NOTES
Natural gas billing,2020-08-28,2020-09-28,12,therms,$20.22,NA
Natural gas billing,2020-09-29,2020-10-28,14,therms,$23.33,NA
Natural gas billing,2020-10-29,2020-11-30,44,therms,$77.91,NA
Natural gas billing,2020-12-01,2020-12-29,46,therms,$81.73,NA
Natural gas billing,2020-12-30,2021-01-28,42,therms,$74.70,NA
Natural gas billing,2021-01-29,2021-03-01,37,therms,$65.76,NA
Natural gas billing,2021-03-02,2021-03-30,27,therms,$48.97,NA
Natural gas billing,2021-03-31,2021-04-29,24,therms,$41.69,NA
Natural gas billing,2021-04-30,2021-05-28,17,therms,$26.95,NA
Natural gas billing,2021-05-29,2021-06-29,11,therms,$17.51,NA
Natural gas billing,2021-06-30,2021-07-29,8,therms,$12.53,NA
Natural gas billing,2021-07-30,2021-08-30,8,therms,$12.80,NA
Natural gas billing,2021-08-31,2021-09-29,11,therms,$20.11,NA
Natural gas billing,2021-09-30,2021-10-28,18,therms,$37.98,NA
Natural gas billing,2021-10-29,2021-11-30,31,therms,$69.39,NA
Natural gas billing,2021-12-01,2021-12-28,37,therms,$83.17,NA
Natural gas billing,2021-12-29,2022-01-27,49,therms,$115.09,NA
Natural gas billing,2022-01-28,2022-02-28,48,therms,$113.65,NA
Natural gas billing,2022-03-01,2022-03-29,33,therms,$72.72,NA
Natural gas billing,2022-03-30,2022-04-28,27,therms,$61.44,NA
Natural gas billing,2022-04-29,2022-05-27,18,therms,$40.62,NA
Natural gas billing,2022-05-28,2022-06-28,15,therms,$34.06,NA
Natural gas billing,2022-06-29,2022-07-28,14,therms,$32.47,NA
Natural gas billing,2022-07-29,2022-08-29,1,therms,$5.29,NA
Natural gas billing,2022-08-30,2022-09-28,2,therms,$6.16,NA
Natural gas billing,2022-09-29,2022-10-27,8,therms,$20.20,NA
Natural gas billing,2022-10-28,2022-11-29,55,therms,$148.86,NA
Natural gas billing,2022-11-30,2022-12-27,62,therms,$170.05,NA
Natural gas billing,2022-12-28,2023-01-27,59,therms,$176.44,NA
Natural gas billing,2023-01-28,2023-02-28,77,therms,$249.49,NA
Natural gas billing,2023-03-01,2023-03-29,58,therms,$146.20,NA
Natural gas billing,2023-03-30,2023-04-28,46,therms,$95.34,NA
Natural gas billing,2023-04-29,2023-05-30,34,therms,$64.77,NA
Natural gas billing,2023-05-31,2023-06-28,20,therms,$36.78,NA
Natural gas billing,2023-06-29,2023-07-28,13,therms,$23.67,NA
