,0
2021-8-1,287.0
2021-8-2,287.55
2021-8-3,286.42
2021-8-4,286.35
2021-8-5,287.4
2021-8-6,287.87
2021-8-7,288.35
2021-8-8,287.78
2021-8-9,286.68
2021-8-10,287.82
2021-8-11,288.29
2021-8-12,287.97
2021-8-13,287.56
2021-8-14,289.17
2021-8-15,287.84
2021-8-16,288.2
2021-8-17,287.71
2021-8-18,287.02
2021-8-19,287.73
2021-8-20,287.75
2021-8-21,288.01
2021-8-22,286.85
2021-8-23,286.59
2021-8-24,286.26
2021-8-25,286.29
2021-8-26,285.31
2021-8-27,288.28
2021-8-28,291.09
2021-8-29,291.94
2021-8-30,288.83
2021-8-31,287.62
