"Account Number","Reading Date","Days in Read Period","Meter Reading","CCF","Customer GPD","Average Households GPD","Top 20% GPD","WaterScore","Meter Class","Meter"
"56855725629","2025-09-22","60","","4","49","132","77","efficient","SFR",""
"56855725629","2025-07-24","63","","5","59","128","77","efficient","SFR",""
"56855725629","2025-05-22","35","","3","64","116","73","efficient","SFR",""
"56855725629","2025-04-17","23","","3","97","110","72","average","SFR",""
"56855725629","2025-03-25","61","","5","61","110","71","efficient","SFR",""
"56855725629","2025-01-23","64","","5","58","115","70","efficient","SFR",""
"56855725629","2024-11-20","61","","7","85","131","76","average","SFR",""
"56855725629","2024-09-20","59","","4","50","132","77","efficient","SFR",""
"56855725629","2024-07-23","62","","6","72","126","76","efficient","SFR",""
"56855725629","2024-05-22","61","","8","98","110","72","average","SFR",""
"56855725629","2024-03-22","59","","6","76","106","69","average","SFR",""
"56855725629","2024-01-23","66","","6","68","115","71","efficient","SFR",""
"56855725629","2023-11-18","59","","4","50","128","77","efficient","SFR",""
"56855725629","2023-09-20","57","","3","39","131","77","efficient","SFR",""
"56855725629","2023-07-25","61","","6","73","122","73","efficient","SFR",""
"56855725629","2023-05-25","62","","6","72","110","72","efficient","SFR",""
"56855725629","2023-03-24","59","","5","63","105","69","efficient","SFR",""
"56855725629","2023-01-24","67","","5","55","110","70","efficient","SFR",""
"56855725629","2022-11-18","59","","4","50","124","76","efficient","SFR",""
"56855725629","2022-09-20","60","","3","37","128","77","efficient","SFR",""
"56855725629","2022-07-22","59","","4","50","126","76","efficient","SFR",""
"56855725629","2022-05-24","61","","4","49","116","73","efficient","SFR",""
"56855725629","2022-03-24","59","","5","63","110","70","efficient","SFR",""
"56855725629","2022-01-24","67","","5","55","110","69","efficient","SFR",""
"56855725629","2021-11-18","57","","6","78","128","77","average","SFR",""
"56855725629","2021-09-22","58","","5","64","134","77","efficient","SFR",""
"56855725629","2021-07-26","62","","5","60","137","78","efficient","SFR",""
"56855725629","2021-05-25","60","","7","87","124","77","average","SFR",""
"56855725629","2021-03-26","60","","5","62","115","72","efficient","SFR",""
"56855725629","2021-01-25","68","","9","99","126","77","average","SFR",""
"56855725629","2020-11-18","57","","7","91","144","85","average","SFR",""
"56855725629","2020-09-22","61","","10","122","147","85","average","SFR",""
"56855725629","2020-07-23","59","","10","126","144","85","average","SFR",""
"56855725629","2020-05-25","61","","11","134","126","76","average","SFR",""
"56855725629","2020-03-25","61","","7","85","110","70","average","SFR",""
"56855725629","2020-01-24","65","","2","23","118","72","efficient","SFR",""
"56855725629","2019-11-20","61","","5","61","134","77","efficient","SFR",""
"56855725629","2019-09-20","59","","4","50","137","77","efficient","SFR",""
"56855725629","2019-07-23","61","","5","61","128","77","efficient","SFR",""
"56855725629","2019-05-23","58","","6","77","110","72","average","SFR",""
"56855725629","2019-03-26","","","3","N/A","106","70","","SFR",""
